,mg/m^3
year,chl-a con ave
2002,0.38601834106990085
2003,0.5623963249899007
2004,0.7408985382013793
2005,0.8649258308064239
2006,0.6478600009168276
2007,0.689584544
2008,0.5181145480104166
2009,0.4672409028862389
2010,0.5030225917976355
2011,0.51237044
2012,0.4179381434562256
2013,0.7444792793225671
2014,0.38788941141787414
2015,0.4505962950382155
