,degrees C
year,SST ave
2002,13.577818181892667
2003,13.463407721195495
2004,13.226201937531073
2005,13.368107845678708
2006,13.67446027399751
2007,12.964194520647538
2008,12.778082712419234
2009,13.046718057359897
2010,13.118147696214237
2011,13.101616936587789
2012,13.213252608221524
2013,13.037113823262757
2014,14.77942042
2015,15.02504209232876
